4	501
5	140
48	130
9	130
9	141
19	131
15	110
16	80
14	120
16	100
1	81
48	150
25	110
50	110
37	90
25	120
50	90
35	80
12	90
21	321
20	61
14	70
9	71
10	80
10	81
20	70
14	80
16	70
12	80
17	70
18	70
15	70
17	80
16	70
23	70
14	71
13	70
11	70
15	70
14	70
27	70
6	90
16	80
11	70
12	80
12	70
20	70
15	70
25	80
10	60
23	60
23	70
22	70
16	71
15	71
24	70
14	70
16	70
17	70
23	70
18	70
21	80
25	70
23	70
11	70
13	60
9	70
14	70
9	70
9	70
18	70
19	70
15	70
20	80
18	61
17	70
16	70
18	60
20	60
20	60
21	80
20	70
19	70
27	70
16	80
18	71
17	71
20	70
20	60
21	70
20	60
19	70
27	60
19	70
19	70
19	60
19	60
19	70
19	70
19	70
17	60
26	70
18	70
14	70
15	70
17	70
19	60
12	60
16	70
19	70
15	81
14	90
15	100
16	80
15	90
13	71
15	70
17	70
14	80
14	70
22	70
26	71
21	71
23	60
23	70
18	70
15	60
16	60
16	70
16	60
17	60
20	70
20	70
21	60
27	70
20	70
19	70
27	70
16	70
17	70
18	80
25	60
19	71
13	70
18	60
10	60
21	70
8	70
11	60
22	60
16	60
18	70
15	70
10	70
19	70
13	70
14	60
20	60
28	60
14	70
20	70
14	70
17	70
25	70
14	70
22	70
11	70
19	80
19	70
15	70
24	70
15	70
15	70
23	70
14	60
15	60
24	60
16	70
11	60
14	70
11	60
15	70
19	71
15	71
29	61
22	71
14	71
15	71
17	60
17	70
25	70
13	70
13	71
13	70
17	60
15	70
15	70
14	71
16	70
18	70
16	70
9	70
10	60
17	70
19	71
10	71
11	70
11	70
12	70
15	70
16	60
14	71
12	70
14	71
10	70
12	70
22	70
13	70
21	70
13	70
17	70
18	70
21	70
12	70
16	60
14	70
11	71
17	70
17	70
13	60
14	70
12	70
22	70
17	60
17	70
23	70
19	70
14	70
24	70
18	70
13	70
12	71
11	70
9	60
10	70
13	60
15	61
16	70
13	61
13	61
21	71
7	80
9	70
16	70
18	70
6	70
14	70
12	70
12	70
15	60
19	70
10	70
14	70
15	61
14	70
13	70
8	70
17	70
12	70
16	60
16	70
10	60
13	70
14	70
14	60
12	70
12	60
22	70
14	60
14	70
13	70
17	70
13	60
